product_id,category,brand,item,product_description,price
1,Burger,McDonalds,Big Mac,A delicious burger with two beef patties,150
2,Burger,McDonalds,Quarter Pounder,A quarter pound beef patty burger,180
3,Sandwich,McDonalds,McChicken,A crispy chicken sandwich,120
4,Chicken,McDonalds,McNuggets,Chicken nuggets,100
5,Chicken,Jollibee,Chickenjoy,Fried chicken,99
6,Pasta,Jollibee,Jolly Spaghetti,Spaghetti with sweet sauce,50
7,Burger,Jollibee,Burger Steak,Burger patty with mushroom gravy,70
8,Noodles,Jollibee,Palabok Fiesta,Noodles with shrimp sauce,80
9,Chicken,KFC,Original Recipe Chicken,Fried chicken with original recipe,120
10,Chicken,KFC,Extra Crispy Chicken,Extra crispy fried chicken,130
11,Chicken,KFC,Popcorn Nuggets,Bite-sized chicken nuggets,110
12,Bowl,KFC,Famous Bowl,Bowl with mashed potatoes, corn, and chicken,150
